"orden";"sitios";"gobierno_local";"codigo";"fecha";"año";"campaña";"tem_agua";"od";"ph";"colif_totales_nmp_100ml";"colif_fecales_nmp_100ml";"escher_coli_nmp_100ml";"nitrato_mg_l";"nh4_mg_l";"dqo_mg_l";"ica";"clase_ica"
"19";"Mirador toma de agua";"CABA";"CA043";"12/11/2014";"2014";"primavera";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó"
"20";"Costanera Norte - Espigón Abanico";"CABA";"CA044";"12/11/2014";"2014";"primavera";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó"
"21";"Club de Pescadores";"CABA";"CA046";"12/11/2014";"2014";"primavera";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó"
"22";"Reserva Ecológica Costanera Sur - Playita";"CABA";"CA047";"12/11/2014";"2014";"primavera";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó"
"23";"Escollera de Propaneros";"Avellaneda";"AV054";"12/11/2014";"2014";"primavera";"26.2";"2.01";"7.3";"";"";"";"6.67";"0.69";"83";"62";"Muy deteriorada"
"24";"Polo Petroquímico Dock Sud";"Avellaneda";"AV051";"12/11/2014";"2014";"primavera";"24.2";"5.88";"7.43";"";"";"";"6.17";"0.52";"49";"67";"Levemente deteriorada"
"25";"Arroyo Sarandí";"Avellaneda";"AV052";"12/11/2014";"2014";"primavera";"24.7";"5.94";"7.3";"";"";"";"6.79";"0.52";"46";"67";"Levemente deteriorada"
"26";"Costa de Villa Domínico";"Avellaneda";"AV055";"12/11/2014";"2014";"primavera";"23.5";"5.97";"7.42";"";"";"";"7.78";"0.54";"45";"67";"Levemente deteriorada"
"27";"Arroyo Santo Domingo";"Avellaneda";"AV053";"12/11/2014";"2014";"primavera";"24.1";"5.46";"7.39";"";"";"";"6.89";"0.6";"50";"67";"Levemente deteriorada"
"28";"Espora 400 m";"Quilmes";"QU061";"12/11/2014";"2014";"primavera";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó"
"29";"Náutico 400 m";"Quilmes";"QU062";"12/11/2014";"2014";"primavera";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó"
"30";"Pejerrey Club 400 m";"Quilmes";"QU063";"12/11/2014";"2014";"primavera";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó"
"31";"Calle 14 y Costa - Salida cloaca";"Berazategui";"BZ078";"12/11/2014";"2014";"primavera";"23.6";"no se midió";"no se midió";"7500";"3900";"700";"11.6";"0.57";"30";"37";"Extremadamente detriorada"
"32";"Puerto Trinidad calle 47";"Berazategui";"BZ077";"12/11/2014";"2014";"primavera";"25.2";"no se midió";"no se midió";"1500";"700";"< 300";"9.69";"1";"38";"51";"Muy deteriorada"
"33";"Costanera Hudson Calle 63";"Berazategui";"BZ080";"12/11/2014";"2014";"primavera";"23.3";"no se midió";"no se midió";"700";"700";"300";"10.3";"0.35";"42";"70";"Levemente deteriorada"
"34";"Camping Eva Perón";"Ensenada";"EN081";"12/11/2014";"2014";"primavera";"23.5";"7.36";"7.88";"4800";"1500";"400";"9.23";"0.61";"29";"59";"Muy deteriorada"
"35";"Toma de agua Club de Pesca";"Ensenada";"EN082";"12/11/2014";"2014";"primavera";"24.1";"4.95";"7.41";"400";"400";"< 300";"8.88";"0.12";"33";"71";"Levemente deteriorada"
"36";"Arroyo El Gato";"Ensenada";"EN083";"12/11/2014";"2014";"primavera";"24.1";"1.29";"7.53";"24000";"24000";"1100";"6.15";"2";"35";"31";"Extremadamente detriorada"
"37";"Ensenada Prefectura Isla Santiago";"Ensenada";"EN084";"12/11/2014";"2014";"primavera";"22.6";"4.85";"7.38";"2300";"900";"900";"7.94";"0.39";"25";"65";"Levemente deteriorada"
"38";"Diagonal 66 (descarga cloaca)";"Berisso";"BS095";"12/11/2014";"2014";"primavera";"26.5";"3.07";"7.32";"> 110000";"46000";"1500";"8.53";"0.8";"63";"30";"Extremadamente detriorada"
"39";"Balneario Municipal";"Berisso";"BS094";"12/11/2014";"2014";"primavera";"22.3";"5.85";"7.42";"400";"400";"< 300";"10.66";"0.1";"39";"71";"Levemente deteriorada"
"40";"Playa La Balandra";"Berisso";"BS093";"12/11/2014";"2014";"primavera";"21.3";"8.04";"8.08";"2300";"900";"< 300";"8.96";"0.1";"64";"75";"Levemente deteriorada"
