"orden";"sitios";"gobierno_local";"codigo";"fecha";"año";"campaña";"tem_agua";"od";"ph";"colif_totales_ufc_100ml";"colif_fecales_ufc_100ml";"escher_coli_ufc_100ml";"nitrato_mg_l";"nh4_mg_l";"dqo_mg_l";"ica";"clase_ica"
"20";"Club de Pescadores";"CABA";"CA046";"14/9/2016";"2016";"invierno";"16.6";"6.95";"6.85";"550000";"54000";"47000";"6";"1.286";"128";"33";"Extremadamente deteriorada"
"21";"Reserva Ecológica Costanera Sur - Playita";"CABA";"CA047";"14/9/2016";"2016";"invierno";"16";"7.05";"7.24";"660000";"48000";"44000";"5";"3.214";"68";"33";"Extremadamente deteriorada"
"22";"Escollera de Propaneros";"Avellaneda";"AV054";"15/9/2016";"2016";"invierno";"19.8";"4.4";"6.8";"81000";"5600";"1400";"4.4";"0.643";"37";"31";"Extremadamente deteriorada"
"23";"Polo Petroquímico Dock Sud";"Avellaneda";"AV051";"15/9/2016";"2016";"invierno";"16.2";"4.06";"7.1";"27000";"1000";"600";"2.7";"0.63";"40";"42";"Extremadamente deteriorada"
"24";"Arroyo Sarandí";"Avellaneda";"AV052";"15/9/2016";"2016";"invierno";"15.9";"3.52";"7.24";"59000";"800";"700";"5.8";"0.669";"31";"43";"Extremadamente deteriorada"
"25";"Costa de Villa Domínico";"Avellaneda";"AV055";"15/9/2016";"2016";"invierno";"15.3";"3.32";"7.25";"32000";"12000";"400";"4";"0.643";"48";"29";"Extremadamente deteriorada"
"26";"Arroyo Santo Domingo";"Avellaneda";"AV053";"15/9/2016";"2016";"invierno";"15.4";"4.5";"7.37";"57000";"3800";"400";"3.5";"0.579";"34";"35";"Extremadamente deteriorada"
"27";"Espora 400 m";"Quilmes";"QU061";"15/9/2016";"2016";"invierno";"14.1";"7.64";"7.46";"51000";"2100";"1500";"3.1";"0.45";"45";"50";"Muy deteriorada"
"28";"Náutico 400 m";"Quilmes";"QU062";"15/9/2016";"2016";"invierno";"14.6";"8.16";"7.15";"65000";"7000";"2500";"3.5";"0.411";"31";"43";"Extremadamente deteriorada"
"29";"Pejerrey Club 400 m";"Quilmes";"QU063";"15/9/2016";"2016";"invierno";"14.4";"8.54";"7.49";"21000";"3400";"500";"3.1";"0.437";"34";"49";"Muy deteriorada"
"30";"Calle 14 y Costa - Salida cloaca";"Berazategui";"BZ078";"15/9/2016";"2016";"invierno";"20.4";"4.6";"";"260000";"82400";">30000";"3.1";"0.72";"98";"21";"Extremadamente deteriorada"
"31";"Puerto Trinidad calle 47";"Berazategui";"BZ077";"15/9/2016";"2016";"invierno";"18.7";"9.4";"";"16000";"100";"100";"13.7";"<0.064";"15";"100";"Apta teniendo en cuenta las variables medidas"
"32";"Costanera Hudson Calle 63";"Berazategui";"BZ080";"15/9/2016";"2016";"invierno";"no se midió";"no se midió";"no se midió";"200000";"1000";"800";"10.6";"0.334";"38";"41";"Extremadamente deteriorada"
"33";"Camping Eva Perón";"Ensenada";"EN081";"15/9/2016";"2016";"invierno";"18";"";"8.4";"6000";"400";"200";"15.5";"<0.064";"70";"69";"Deteriorada"
"34";"Toma de agua Club de Pesca";"Ensenada";"EN082";"15/9/2016";"2016";"invierno";"18";"";"7.8";"5000";"<100";"<100";"11.5";"0.129";"12";"100";"Apta teniendo en cuenta las variables medidas"
"35";"Arroyo El Gato";"Ensenada";"EN083";"15/9/2016";"2016";"invierno";"";"";"";"17000";"600";"200";"7.1";"<0.064";"<10";"51";"Muy deteriorada"
"36";"Ensenada Prefectura Isla Santiago";"Ensenada";"EN084";"15/9/2016";"2016";"invierno";"16.3";"";"7.8";"85000";"100";"<100";"6.2";"<0.064";"12";"100";"Apta teniendo en cuenta las variables medidas"
"37";"Playa La Bagliardi";"Berisso";"BS091";"15/9/2016";"2016";"invierno";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó"
"38";"Balneario Municipal";"Berisso";"BS094";"15/9/2016";"2016";"invierno";"13";"10.47";"6.09";"75000";"3400";"300";"8.9";"<0.064";"92";"65";"Deteriorada"
"39";"Playa La Balandra";"Berisso";"BS093";"15/9/2016";"2016";"invierno";"12.1";"10.49";"7.78";"35000";"1400";"200";"7.1";"<0.064";"43";"60";"Muy deteriorada"
"1";"Canal Villa Nueva y Río Luján";"Tigre";"TI001";"30/11/2016";"2016";"primavera";"no se midió";"no se midió";"no se midió";"8000";"6300";"1900";"2.22";"1.17";"17";"18";"Extremadamente deteriorada"
"2";"Río Lujan y Arroyo Caraguatá";"Tigre";"TI006";"30/11/2016";"2016";"primavera";"no se midió";"no se midió";"no se midió";"7000";"6000";"200";"2.66";"0.1";"< 10";"34";"Extremadamente deteriorada"
"3";"Canal Aliviador y Río Lujan";"Tigre";"TI002";"30/11/2016";"2016";"primavera";"no se midió";"no se midió";"no se midió";"6000";"2100";"2100";"2.22";"4";"21";"20";"Extremadamente deteriorada"
"4";"Río Carapachay y Arroyo Gallo Fiambre";"Tigre";"TI003";"30/11/2016";"2016";"primavera";"no se midió";"no se midió";"no se midió";"17000";"8000";"3000";"3.1";"1.2";"21";"18";"Extremadamente deteriorada"
"5";"Río Reconquista y Río Lujan";"Tigre";"TI004";"30/11/2016";"2016";"primavera";"no se midió";"no se midió";"no se midió";"30000";"4000";"3700";"2.66";"0.6";"13";"19";"Extremadamente deteriorada"
"6";"Rio Tigre 100m antes del Rio Luján";"Tigre";"TI005";"30/11/2016";"2016";"primavera";"no se midió";"no se midió";"no se midió";"45000";"42000";"12700";"1.77";"6";"63";"16";"Extremadamente deteriorada"
"7";"Río Lujan y Canal San Fernando";"Tigre";"TI007";"30/11/2016";"2016";"primavera";"no se midió";"no se midió";"no se midió";"8000";"1800";"1400";"2.66";"3.2";"17";"21";"Extremadamente deteriorada"
"8";"Río Capitán y Río San Antonio";"Tigre";"TI008";"30/11/2016";"2016";"primavera";"no se midió";"no se midió";"no se midió";"7000";"2500";"2000";"2.22";"1.1";"25";"20";"Extremadamente deteriorada"
"9";"Arroyo Abra Vieja y Santa Rosa";"Tigre";"TI009";"30/11/2016";"2016";"primavera";"no se midió";"no se midió";"no se midió";"4000";"1400";"1300";"2.66";"1.3";"33";"22";"Extremadamente deteriorada"
"10";"Del Arca";"San Fernando";"SF015";"30/11/2016";"2016";"primavera";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó"
"11";"Espigón La Farola";"San Isidro";"SI021";"30/11/2016";"2016";"primavera";"25.9";"4.95";"7.06";"36000";"8000";"1300";"3.1";"0.9";"17";"24";"Extremadamente deteriorada"
