orden,sitios,codigo,fecha,año,campaña,tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,dqo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,cr_total_mg_l,cd_total_mg_l,clorofila_a_ug_l,microcistina_ug_l,ica,calidad_de_agua
39,balneario municipal,bs094,26/3/2014,2014,verano,21.2,,8.5,8.03,,,,,<300,300.0,,<0.2,0.04,,,,,,,,,,,86.0,levemente deteriorada
40,playa la balandra,bs093,26/3/2014,2014,verano,20.9,,8.52,7.99,,,,,4300,300.0,,7.1,0.05,,,,,,,,,,,48.0,muy deteriorada
1,canal villa nueva y rao lujan,ti001,27/8/2014,2014,invierno,16.0,,8.49,7.45,,,,,< 300,300.0,,1.5,0.3,,,,35.0,,,,,,,86.0,levemente deteriorada
2,rao lujan y arroyo caraguata,ti006,27/8/2014,2014,invierno,16.0,,8.02,7.45,,,,,< 300,300.0,,17,1.3,,,,20.0,,,,,,,69.0,deteriorada
3,canal aliviador y rao lujan,ti002,27/8/2014,2014,invierno,16.0,,8.47,7.43,,,,,< 300,300.0,,1.5,2.0,,,,28.0,,,,,,,65.0,deteriorada
4,rao carapachay y arroyo gallo fiambre,ti003,27/8/2014,2014,invierno,15.0,,8.05,7.48,,,,,900,300.0,,10,1.0,,,,27.0,,,,,,,63.0,muy deteriorada
5,rao reconquista y rao lujan,ti004,27/8/2014,2014,invierno,15.0,,8.41,7.53,,,,,< 300,300.0,,64,1.25,,,,28.0,,,,,,,69.0,deteriorada
6,rio tigre 100m antes del rio lujan,ti005,27/8/2014,2014,invierno,12.0,,8.58,6.92,,,,,< 300,300.0,,4.5,1.25,,,,29.0,,,,,,,57.0,muy deteriorada
7,rao lujan y canal san fernando,ti007,27/8/2014,2014,invierno,14.0,,8.05,7.51,,,,,400,300.0,,41,1.6,,,,22.0,,,,,,,66.0,deteriorada
8,rao capitan y rao san antonio,ti008,27/8/2014,2014,invierno,16.0,,8.89,7.42,,,,,< 300,300.0,,1.8,0.2,,,,17.0,,,,,,,72.0,deteriorada
9,arroyo abra vieja y santa rosa,ti009,27/8/2014,2014,invierno,14.0,,8.75,7.42,,,,,< 300,300.0,,13,0.2,,,,22.0,,,,,,,72.0,deteriorada
10,del arca,sf015,27/8/2014,2014,invierno,15.0,,8.19,7.77,,,,,700,300.0,,9,0.9,,,,22.0,,,,,,,66.0,deteriorada
11,espiga3n la farola,si021,27/8/2014,2014,invierno,13.0,,9.18,7.82,,,,,400,400.0,,3.5,1.1,,,,23.0,,,,,,,56.0,muy deteriorada
12,reserva ecola3gica,si022,27/8/2014,2014,invierno,13.0,,8.81,7.91,,,,,< 300,300.0,,9.5,1.4,,,,27.0,,,,,,,56.0,muy deteriorada
13,playa espiga3n de pacheco,si024,27/8/2014,2014,invierno,13.0,,8.97,7.89,,,,,< 300,300.0,,2.5,1.0,,,,28.0,,,,,,,57.0,muy deteriorada
14,perao puente,si023,27/8/2014,2014,invierno,13.0,,3.6,7.84,,,,,700,700.0,,25,4.1,,,,20.0,,,,,,,45.0,muy deteriorada
15,reserva barrio el ceibo,vl033,27/8/2014,2014,invierno,14.0,,8.0,7.47,,,,,< 300,300.0,,16,1.3,,,,31.0,,,,,,,69.0,deteriorada
16,puerto de olivos espiga3n,vl032,27/8/2014,2014,invierno,13.0,,7.6,7.54,,,,,< 300,300.0,,19,1.3,,,,26.0,,,,,,,69.0,deteriorada
17,costa y melo,vl031,27/8/2014,2014,invierno,13.0,,8.8,7.54,,,,,< 300,300.0,,26,0.7,,,,30.0,,,,,,,58.0,muy deteriorada
18,parque de los niaos,ca041,27/8/2014,2014,invierno,,,,,,,,,,,,,,,,,,,,,,,,,
19,mirador toma de agua,ca043,27/8/2014,2014,invierno,,,,,,,,,,,,,,,,,,,,,,,,,
20,costanera norte - espiga3n abanico,ca044,27/8/2014,2014,invierno,,,,,,,,,,,,,,,,,,,,,,,,,
21,club de pescadores,ca046,27/8/2014,2014,invierno,,,,,,,,,,,,,,,,,,,,,,,,,
22,reserva ecola3gica costanera sur - playita,ca047,27/8/2014,2014,invierno,,,,,,,,,,,,,,,,,,,,,,,,,
23,escollera de propaneros,av054,27/8/2014,2014,invierno,15.0,,8.15,7.9,,,,,9300,900.0,,5.5,3.0,,,,36.0,,,,,,,42.0,extremadamente deteriorada
24,polo petroquamico dock sud,av051,27/8/2014,2014,invierno,15.0,,7.49,7.9,,,,,9300,2300.0,,3.5,8.0,,,,30.0,,,,,,,41.0,extremadamente deteriorada
25,arroyo saranda,av052,27/8/2014,2014,invierno,15.0,,6.36,7.8,,,,,24000,1500.0,,23,5.0,,,,28.0,,,,,,,31.0,extremadamente deteriorada
26,costa de villa domanico,av055,27/8/2014,2014,invierno,15.0,,5.72,7.7,,,,,110000,700.0,,17,3.8,,,,28.0,,,,,,,30.0,extremadamente deteriorada
27,arroyo santo domingo,av053,27/8/2014,2014,invierno,15.0,,5.77,7.8,,,,,9300,900.0,,2,4.0,,,,23.0,,,,,,,34.0,extremadamente deteriorada
28,espora 400 m,qu061,27/8/2014,2014,invierno,,,,,,,,,,,,,,,,,,,,,,,,,
29,nautico 400 m,qu062,27/8/2014,2014,invierno,,,,,,,,,,,,,,,,,,,,,,,,,
30,pejerrey club 400 m,qu063,27/8/2014,2014,invierno,,,,,,,,,,,,,,,,,,,,,,,,,
31,calle 14 y costa - salida cloaca,bz078,27/8/2014,2014,invierno,12.0,,8.7,,,,,,9300,900.0,,16,1.8,,,,37.0,,,,,,,28.0,extremadamente deteriorada
32,puerto trinidad calle 47,bz077,27/8/2014,2014,invierno,13.0,,9.4,,,,,,4800,900.0,,3.5,1.5,,,,32.0,,,,,,,31.0,extremadamente deteriorada
33,costanera hudson calle 63,bz080,27/8/2014,2014,invierno,11.0,,9.2,,,,,,4800,300.0,,16,0.9,,,,41.0,,,,,,,32.0,extremadamente deteriorada
34,camping eva pera3n,en081,27/8/2014,2014,invierno,11.0,,9.59,7.85,,,,,4800,300.0,,4,3.0,,,,27.0,,,,,,,37.0,extremadamente deteriorada
35,toma de agua club de pesca,en082,27/8/2014,2014,invierno,12.0,,9.26,7.73,,,,,900,300.0,,8,2.5,,,,24.0,,,,,,,48.0,muy deteriorada
36,arroyo el gato,en083,27/8/2014,2014,invierno,14.0,,7.42,1.09,,,,,24000,900.0,,5,6.2,,,,35.0,,,,,,,31.0,extremadamente deteriorada
