orden;sitios;codigo;fecha;A�o;Campa�a;tem_agua;tem_aire;od;ph;olores;color;espumas;mat_susp;colif_fecales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;nitrato_mg_l;nh4_mg_l;p_total_l_mg_l;fosf_ortofos_mg_l;dbo_mg_l;dqo_mg_l;turbiedad_ntu;hidr_deriv_petr_ug_l;cr_total_mg_l;cd_total_mg_l;clorofila_a_ug_l;microcistina_ug_l;ica;calidad_de_agua
14;Perú Puente;SI023;30/11/2016;2016;primavera;25.9;;;7.06;;;;;30000;14000;;26.14;3.5;;;;104;;;;;;;30;Extremadamente deteriorada
15;Reserva Barrio El Ceibo;VL033;30/11/2016;2016;primavera;25.5;;;8.19;;;;;10000;9200;;15.51;1.2;;;;100;;;;;;;31;Extremadamente deteriorada
16;Puerto de Olivos Espigón;VL032;30/11/2016;2016;primavera;24.9;;;7.68;;;;;1600;800;;8.42;0.7;;;;42;;;;;;;42;Extremadamente deteriorada
17;Costa y Melo;VL031;30/11/2016;2016;primavera;25.5;;;7.98;;;;;2000;1900;;14.18;0.1;;;;33;;;;;;;46;Muy deteriorada
18;Parque de los Niños;CA041;30/11/2016;2016;primavera;28;;4.98;7.6;;;;;30000;30000;;;1.4;;;; ;;;;;;;21;Extremadamente deteriorada
19;Costanera Norte - Espigón Abanico;CA044;30/11/2016;2016;primavera;25.5;;7.9;8.1;;;;;20000;13000;;;2.6;;;; ;;;;;;;30;Extremadamente deteriorada
20;Club de Pescadores;CA046;30/11/2016;2016;primavera;27.2;;6.79;8.1;;;;;4700;4300;;;1.8;;;; ;;;;;;;33;Extremadamente deteriorada
21;Reserva Ecológica Costanera Sur - Playita;CA047;30/11/2016;2016;primavera;25.7;;7.81;8.37;;;;;530;530;;;0.8;;;; ;;;;;;;50;Muy deteriorada
22;Escollera de Propaneros;AV054;30/11/2016;2016;primavera;25.8;;4.4;5.8;;;;;14000;1000;;2.66;3.3;;;;108;;;;;;;20;Extremadamente deteriorada
23;Polo Petroquímico Dock Sud;AV051;30/11/2016;2016;primavera;25.3;;4.7;6;;;;;16500;8000;;3.99;1.2;;;;75;;;;;;;19;Extremadamente deteriorada
24;Arroyo Sarandí;AV052;30/11/2016;2016;primavera;25.3;;2.3;6.4;;;;;3000;1600;;2.44;3.5;;;;96;;;;;;;24;Extremadamente deteriorada
25;Costa de Villa Domínico;AV055;30/11/2016;2016;primavera;25.7;;2;6.6;;;;;2500;100;;1.99;2.9;;;;42;;;;;;;44;Extremadamente deteriorada
26;Arroyo Santo Domingo;AV053;30/11/2016;2016;primavera;25.1;;2.2;6.5;;;;;4000;3800;;1.77;3.7;;;;88;;;;;;;30;Extremadamente deteriorada
27;Espora 400 m;QU061;30/11/2016;2016;primavera;25.6;;4.08;7.17;;;;;1400;600;;5.32;1.2;;;;33;;;;;;;40;Extremadamente deteriorada
28;Náutico 400 m;QU062;30/11/2016;2016;primavera;25.4;;4.53;7.63;;;;;1800;300;;5.76;1.2;;;;67;;;;;;;40;Extremadamente deteriorada
29;Pejerrey Club 400 m;QU063;30/11/2016;2016;primavera;27.2;;4.59;7.26;;;;;3000;1700;;8.86;1;;;;21;;;;;;;33;Extremadamente deteriorada
